95.0,162.0,151.0,172.0,146.0,200.0,90.0,190.0,0173 EAP
0.0,174.0,54.0,174.0,54.0,196.0,0.0,196.0,ANNT
357.0,-10.0,477.0,45.0,437.0,129.0,318.0,73.0,E LTD PT
0.0,108.0,66.0,122.0,59.0,156.0,-6.0,142.0,ONId ENNA
239.0,167.0,332.0,187.0,326.0,212.0,233.0,192.0,EEERN NAVI99 VISI
192.0,0.0,308.0,0.0,308.0,54.0,192.0,54.0,AN
528.0,144.0,554.0,144.0,554.0,166.0,528.0,166.0,2
58.0,181.0,99.0,189.0,95.0,206.0,55.0,198.0,3
650.0,172.0,714.0,172.0,714.0,230.0,650.0,230.0,C8X
221.0,186.0,347.0,211.0,342.0,237.0,215.0,213.0,RESTAURANT
