514.0,370.0,536.0,370.0,536.0,384.0,514.0,384.0,MA CREME
569.0,75.0,650.0,94.0,644.0,122.0,563.0,103.0,FORMUA MUATO
489.0,55.0,576.0,76.0,569.0,104.0,482.0,84.0,3 DA 102
455.0,11.0,523.0,29.0,516.0,57.0,448.0,39.0,A6
657.0,36.0,735.0,57.0,728.0,84.0,650.0,63.0,SSONOVIO
411.0,36.0,494.0,57.0,487.0,86.0,404.0,65.0,UNIQUE
643.0,95.0,711.0,109.0,707.0,132.0,638.0,118.0,FORYOU
480.0,204.0,530.0,204.0,530.0,220.0,480.0,220.0,BBROLA
1076.0,215.0,1165.0,218.0,1163.0,266.0,1074.0,263.0,3TVS
506.0,281.0,593.0,284.0,591.0,324.0,504.0,321.0,ioma
788.0,414.0,826.0,414.0,826.0,430.0,788.0,430.0,837735
517.0,448.0,565.0,445.0,566.0,457.0,518.0,460.0,IOU8*
