540.0,92.0,592.0,92.0,592.0,106.0,540.0,106.0,|f2[2)
448.0,96.0,528.0,96.0,528.0,108.0,448.0,108.0,uy8G
540.0,124.0,592.0,124.0,592.0,138.0,540.0,138.0,61R.3
448.0,128.0,480.0,128.0,480.0,140.0,448.0,140.0,G2210
537.0,156.0,589.0,153.0,590.0,169.0,538.0,171.0,[06:118
446.0,160.0,480.0,160.0,480.0,170.0,446.0,170.0,92
648.0,218.0,716.0,218.0,716.0,230.0,648.0,230.0,25106
434.0,266.0,536.0,266.0,536.0,352.0,434.0,352.0,0
534.0,372.0,562.0,372.0,562.0,388.0,534.0,388.0,[50]
440.0,374.0,512.0,376.0,511.0,392.0,439.0,389.0,AunaarPul
534.0,406.0,592.0,406.0,592.0,424.0,534.0,424.0,etea-2a1
440.0,412.0,470.0,412.0,470.0,424.0,440.0,424.0,Y
536.0,444.0,582.0,444.0,582.0,458.0,536.0,458.0,[E8*931
438.0,446.0,476.0,446.0,476.0,460.0,438.0,460.0,wedm
