793.0,92.0,913.0,103.0,907.0,165.0,788.0,154.0,YEAR ALL
768.0,337.0,998.0,358.0,996.0,385.0,766.0,364.0,NGAGOB
806.0,0.0,908.0,0.0,908.0,40.0,806.0,40.0,%C
1018.0,6.0,1060.0,6.0,1060.0,62.0,1018.0,62.0,ER
486.0,49.0,551.0,56.0,547.0,93.0,482.0,86.0,7VS
358.0,82.0,402.0,82.0,402.0,108.0,358.0,108.0,31Vs
348.0,127.0,415.0,132.0,413.0,167.0,345.0,162.0,SALE
775.0,213.0,999.0,231.0,994.0,293.0,770.0,275.0,ROUND
340.0,254.0,404.0,254.0,404.0,290.0,340.0,290.0,502
772.0,315.0,846.0,325.0,843.0,347.0,769.0,337.0,TARETAIL
800.0,416.0,954.0,428.0,951.0,467.0,797.0,454.0,OcBCBank
